Year,Month,Flow,FFD DESC,£000s,Tonnes
2009,2,Total Exports,"Flours, meals and pellets of meat, offal or fish",1961.612,6366.013
2009,2,Total Exports,Gin and Geneva,17068.372,4786.425
2009,2,Total Exports,"Grapes, fresh or dried",1153.654,707.3
2009,2,Total Exports,Honey,1180.922,174.033
2009,2,Total Exports,Ice cream,5566.183,3482.22
2009,2,Total Exports,Infant food for retail,1576.684,325.084
2009,2,Total Exports,Jams,5715.378,2940.973
2009,2,Total Exports,Juice,3633.653,2690.845
2009,2,Total Exports,Lamb and mutton,23699.506,6827.254
2009,2,Total Exports,Lemons and Limes,61.723,61.793
2009,2,Total Exports,"Lettuce and chicory, fresh or chilled",462.589,145.173
2009,2,Total Exports,Margarine,5740.171,3775.086
2009,2,Total Exports,Milk and cream,16537.811,46167.4
2009,2,Total Exports,Milk powder,10893.962,7027.044
2009,2,Total Exports,Mineral water,34248.951,34540.582
2009,2,Total Exports,Miscellaneous food ingredients,54239.363,17959.754
2009,2,Total Exports,Mixes and doughs for baking,5505.802,5076.118
2009,2,Total Exports,Molasses,727.85,3710.433
2009,2,Total Exports,"Mushrooms and truffles, fresh or chilled",59.477,7.713
2009,2,Total Exports,Nuts,2399.98,668.693
2009,2,Total Exports,Oil cake,6373.916,39340.065
2009,2,Total Exports,Oil seeds and oleaginous fruits,5395.688,16906.087
2009,2,Total Exports,Oranges and Mandarins etc,1019.741,2225.871
2009,2,Total Exports,Other animal feedingstuffs,27286.707,37635.565
2009,2,Total Exports,Other beet or cane sugar,19709.759,37756.72
2009,2,Total Exports,"Other cereal (including maize), unmilled",875.574,3446.485
2009,2,Total Exports,Other Citrus fruit,34.092,65.283
2009,2,Total Exports,Other fruit,2485.126,2379.495
2009,2,Total Exports,Other meat products,4126.406,1473.163
2009,2,Total Exports,Other milk products,2999.493,5376.487
2009,2,Total Exports,Other spirits,13086.591,3462.394
2009,2,Total Exports,Other sugars,3118.123,5996.593
2009,2,Total Exports,"Other vegetables, fresh or chilled",14101.347,53701.022
2009,2,Total Exports,"Other vegetables, prepared or preserved",4983.079,4145.231
2009,2,Total Exports,Pasta uncooked,402.785,244.263
2009,2,Total Exports,"Pasta, cooked or stuffed",1871.364,1025.534
2009,2,Total Exports,Pears & quinces fresh,187.666,179.959
2009,2,Total Exports,Pork,8183.191,7459.258
2009,2,Total Exports,Potato products,10629.483,6535.481
